,年龄,身高(cm),体重(kg),腰围(cm),臀围(cm),体温(℃),脉搏(次/分),呼吸(次/分),收缩压,舒张压,总热卡(千卡),门诊测血糖（次/周),自我监测血糖(次/周),空腹血糖(mmol/l),餐后血糖(mmol/l),糖化血红蛋白(%),空腹血糖(mmol/L),餐后2H血糖(mmol/L),糖化血红蛋白(%).1,空腹胰岛素(pmol/l),空腹C肽(nmol/l),餐后2H胰岛素(pmol/l),餐后2H C肽空腹C肽(nmol/l),TC（总胆固醇）,TG（甘油三酯）,LDL--C（低密度脂蛋白）,HDL--C（高密度脂蛋白）,24H尿蛋白定量(mg/24h),尿白蛋白(mg/L),BUN尿素氮(mmol/L),CREA肌酐(umol/L),WBC(×109/L),中性粒胞(%),RBC( 1012/L),家族史,高血压,脑血管病变,心血管病变,视网膜病变,糖尿病肾病,周围神经病变,糖尿病足,皮肤感染,糖尿病酮症（或酸中毒）,定时定量,食物选择合理,食物搭配合理,甜食,外出就餐,其他,每周运动次数,每次运动时间,是否使用口服降糖药,是否使用胰岛素,是否使用降压药,是否使用调脂药,胃纳,活动情况,心电图,心脏B超,眼底检查情况,肾ECT,神经肌电图,血管病变（多普勒）,奇形,干裂,灰趾甲,自觉足部症状,足背动脉搏动,每天足部检查 ,每天足部清洁,足部神经感觉阈值结果,ABI检查结果,抽烟,喝酒,程度分级,血糖记录(是/否)
年龄,0.0,0.0,0.027768198,0.018885043,0.016703976,0.026678469,0.0,0.0,0.0,0.0,0.022595884,0.0,0.04326982,0.0,0.0,0.0,0.0,0.0,0.035876546,0.0,0.0,0.0451939,0.021729412,0.022718351,0.023544768,0.0,0.0,0.0,0.021471694,0.0,0.03322133,0.0,0.0,0.0,0.025522124,0.0,0.03265188,0.04328605,0.0,0.0,0.0,0.0,0.035510685,0.025828097,0.0,0.0,0.0,0.0,0.026410408,0.0,0.0,0.050451178,0.035973627,0.0,0.05438764,0.0,0.0,0.036293097,0.04248211,0.020840012,0.0,0.0,0.0,0.0,0.0,0.019231955,0.01668849,0.028711371,0.024981707,0.0,0.0,0.031783197,0.0,0.0,0.0,0.033125352,0.0
身高(cm),0.0,0.0,0.022520015,0.0,0.047172096,0.016453205,0.025706712,0.0,0.0,0.0,0.02627086,0.04196859,0.0,0.0,0.04349463,0.0,0.019008111,0.0,0.031390272,0.0,0.025268434,0.027775925,0.04473805,0.028078418,0.02377195,0.0,0.0,0.0,0.032347288,0.0,0.0,0.0,0.0,0.034152355,0.0,0.0,0.025725944,0.032532524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04385961,0.0,0.0,0.021286072,0.0,0.031930912,0.02104997,0.03460692,0.0,0.023121776,0.0,0.020695094,0.0,0.039427247,0.023529569,0.027515443,0.020585887,0.022763874,0.0,0.0,0.022777066,0.0,0.032682076,0.0,0.0,0.0,0.0,0.031845167,0.022285325
体重(kg),0.027334452,0.0,0.0,0.03665467,0.0,0.0,0.033768423,0.0,0.023581363,0.0,0.028495874,0.0,0.0,0.0,0.047836952,0.0,0.0,0.040384915,0.019940687,0.0,0.0,0.0,0.0,0.0,0.024209876,0.0,0.0,0.07344562,0.0,0.0,0.018644653,0.0,0.0,0.028919097,0.0,0.024143627,0.0,0.0,0.0,0.037875388,0.0,0.0,0.035970584,0.0,0.019118091,0.03165975,0.028253403,0.0,0.0155824,0.034032363,0.0,0.0,0.0,0.023532009,0.031226536,0.0,0.045732003,0.027843382,0.0,0.047290202,0.027035974,0.018745571,0.03037269,0.0,0.04427171,0.0,0.052350044,0.0,0.0,0.0,0.022284647,0.0,0.0,0.0,0.0,0.0,0.039878394
腰围(cm),0.0,0.0,0.031591184,0.0,0.026075326,0.0,0.020757265,0.020868078,0.0,0.0,0.0,0.040962964,0.0,0.0,0.028812688,0.027857002,0.016036622,0.031559724,0.0,0.025745615,0.0,0.0,0.0,0.0,0.018827919,0.034237012,0.0,0.02493094,0.0,0.029167866,0.0,0.0170792,0.027547568,0.026141232,0.045825426,0.03426505,0.0,0.01678709,0.0128317075,0.048770126,0.0,0.0,0.0,0.0,0.024026701,0.026028182,0.020364193,0.041766852,0.0,0.0,0.025893232,0.0,0.012733486,0.0,0.026981313,0.030703174,0.0,0.0,0.0,0.0,0.026809322,0.0,0.02099927,0.02873501,0.0,0.0,0.02936005,0.016221816,0.0,0.0,0.017757691,0.027864352,0.0167795,0.03285838,0.014551994,0.0,0.024444826
臀围(cm),0.015726443,0.0,0.021000575,0.0,0.0,0.02348763,0.019405885,0.027451972,0.0,0.0,0.0,0.03865796,0.007640102,0.0,0.0,0.0,0.0,0.0138269365,0.0,0.0,0.0,0.015508998,0.0,0.0,0.0,0.043646168,0.0,0.021922972,0.0,0.03172527,0.0,0.020627227,0.020071173,0.017496793,0.0,0.018474208,0.0,0.0,0.015352472,0.0,0.029587952,0.0,0.0,0.0,0.014796546,0.019944208,0.029618062,0.0,0.05276201,0.033466075,0.0,0.0,0.032098245,0.035778932,0.014920592,0.0,0.0,0.0,0.0,0.023035055,0.021537317,0.0,0.022337092,0.0,0.05263434,0.0,0.04913731,0.027770476,0.0,0.04138871,0.0,0.019668376,0.0,0.029352468,0.0,0.0,0.0
体温(℃),0.030208377,0.0,0.022524437,0.0,0.0,0.0,0.0,0.0,0.0638502,0.0,0.0,0.0,0.0,0.036876418,0.0,0.049191874,0.0,0.0,0.027179353,0.0,0.0,0.025053982,0.0,0.041719783,0.07135281,0.0,0.039498128,0.0,0.025057107,0.021947378,0.02658999,0.0,0.0,0.0,0.0,0.039064355,0.03626696,0.0,0.018397322,0.0,0.026793642,0.04922674,0.0,0.040997967,0.0,0.0,0.0,0.021813488,0.0,0.04116656,0.06089781,0.0,0.03743164,0.0,0.0,0.0,0.0,0.0,0.0322117,0.0,0.024877451,0.0,0.0,0.031103626,0.0,0.040731158,0.0,0.01894647,0.0,0.0,0.0,0.027191851,0.037245594,0.0,0.0,0.0,0.0
脉搏(次/分),0.0,0.029046722,0.0,0.0,0.025691466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039695796,0.0,0.0,0.0,0.020625988,0.0,0.0389453,0.050990805,0.0,0.0,0.0,0.0,0.0682064,0.0,0.044534862,0.0,0.0,0.0,0.035334185,0.0,0.057221364,0.0,0.03947088,0.0,0.0,0.0,0.022425601,0.0,0.0,0.0,0.0,0.033785563,0.044039045,0.0,0.0,0.0,0.0,0.0,0.035069544,0.0,0.020338878,0.039885323,0.0,0.0,0.0,0.0,0.0,0.0,0.025819596,0.06293233,0.0,0.043439165,0.0,0.0,0.0,0.0,0.037303843,0.02779388,0.0,0.034282066,0.0,0.0,0.051470354,0.050724313
呼吸(次/分),0.025748573,0.032976363,0.0,0.0,0.03269475,0.0,0.04028451,0.0,0.02071355,0.021204846,0.023780566,0.01897873,0.0,0.024876587,0.0,0.03507703,0.045714147,0.0,0.05295843,0.037323467,0.053939775,0.027567372,0.035806846,0.036793865,0.038388126,0.038566627,0.0,0.0,0.037726343,0.0,0.024186628,0.0,0.0,0.036417276,0.012939979,0.031822197,0.0,0.02754639,0.0,0.03180097,0.019804716,0.016663052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05338917,0.0,0.0,0.0,0.0,0.0,0.0,0.031867884,0.0142518645,0.0,0.0,0.0,0.0,0.0,0.013750272,0.0,0.030131306,0.0,0.0,0.0,0.014701321,0.0,0.0,0.024025388,0.024656378,0.0
收缩压,0.0,0.0,0.0,0.020071503,0.020797161,0.0,0.0,0.0,0.0,0.024245925,0.0,0.0,0.037640538,0.050738342,0.0,0.03660021,0.045329943,0.0,0.0,0.037912183,0.017570047,0.0,0.0,0.035825614,0.047930546,0.021800512,0.0,0.017976915,0.037929777,0.0,0.0,0.0,0.0,0.021758866,0.031045426,0.041329853,0.0,0.032841466,0.0,0.017058052,0.02934508,0.0,0.0,0.053124625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025279807,0.0,0.0,0.0,0.022907643,0.030009609,0.0,0.020880917,0.0,0.0,0.0,0.0,0.0,0.0,0.04531277,0.0,0.03241057,0.0,0.0,0.027141249,0.0,0.0292367,0.029114865,0.045372985,0.0,0.0
舒张压,0.0,0.032357924,0.0,0.0314665,0.032495756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022900168,0.0,0.0,0.0,0.07030237,0.0,0.029123688,0.021700416,0.0,0.0,0.0,0.0,0.029147677,0.0,0.025303245,0.0,0.0,0.0,0.031341698,0.0,0.06387139,0.0,0.018684594,0.029912837,0.0,0.0,0.022202648,0.0,0.0,0.0,0.0,0.06552124,0.0,0.04112666,0.0,0.029508868,0.03730933,0.04219098,0.0,0.0,0.025390156,0.036710586,0.0,0.0,0.0,0.030638596,0.0,0.0,0.026131758,0.026852977,0.02899921,0.0,0.020736763,0.03499031,0.0,0.014287263,0.0,0.03835051,0.0,0.02012586,0.021450838,0.0,0.0,0.0
