,年龄,身高(cm),体重(kg),腰围(cm),臀围(cm),体温(℃),脉搏(次/分),呼吸(次/分),收缩压,舒张压,总热卡(千卡),门诊测血糖（次/周),自我监测血糖(次/周),空腹血糖(mmol/l),餐后血糖(mmol/l),糖化血红蛋白(%),空腹血糖(mmol/L),餐后2H血糖(mmol/L),糖化血红蛋白(%).1,空腹胰岛素(pmol/l),空腹C肽(nmol/l),餐后2H胰岛素(pmol/l),餐后2H C肽空腹C肽(nmol/l),TC（总胆固醇）,TG（甘油三酯）,LDL--C（低密度脂蛋白）,HDL--C（高密度脂蛋白）,24H尿蛋白定量(mg/24h),尿白蛋白(mg/L),BUN尿素氮(mmol/L),CREA肌酐(umol/L),WBC(×109/L),中性粒胞(%),RBC( 1012/L),家族史,高血压,脑血管病变,心血管病变,视网膜病变,糖尿病肾病,周围神经病变,糖尿病足,皮肤感染,糖尿病酮症（或酸中毒）,定时定量,食物选择合理,食物搭配合理,甜食,外出就餐,其他,每周运动次数,每次运动时间,是否使用口服降糖药,是否使用胰岛素,是否使用降压药,是否使用调脂药,胃纳,活动情况,心电图,心脏B超,眼底检查情况,肾ECT,神经肌电图,血管病变（多普勒）,奇形,干裂,灰趾甲,自觉足部症状,足背动脉搏动,每天足部检查 ,每天足部清洁,足部神经感觉阈值结果,ABI检查结果,抽烟,喝酒,程度分级,血糖记录(是/否)
年龄,0.0,0.0,0.021807004,0.02344492,0.018385183,0.027908958,0.0,0.0,0.023973543,0.025501799,0.023177892,0.0,0.04551001,0.0,0.0,0.0,0.0,0.0,0.03656225,0.0,0.0,0.032730468,0.021710506,0.024285305,0.024326144,0.0,0.0,0.0,0.021723334,0.0,0.048312407,0.0,0.0,0.0,0.028903244,0.0,0.026429294,0.032181844,0.030266272,0.0,0.0,0.0,0.029933633,0.022776604,0.0,0.0,0.0,0.0,0.02078499,0.021383248,0.0,0.034611866,0.026940791,0.0,0.03348525,0.0,0.0,0.029762635,0.03795164,0.022982571,0.0,0.0,0.0,0.04107561,0.0,0.018889047,0.016479386,0.027009817,0.030751597,0.0,0.0,0.025301306,0.0,0.0,0.0,0.026162889,0.0
身高(cm),0.025899373,0.0,0.020078836,0.0,0.030374188,0.024105145,0.031234559,0.0,0.0,0.0,0.024448253,0.026041465,0.0,0.0,0.02695881,0.0,0.028321426,0.0,0.02756712,0.0,0.030394215,0.024358716,0.02948703,0.027035752,0.025206354,0.0,0.0,0.0,0.03162785,0.0,0.0,0.0,0.0,0.035639558,0.016447784,0.0,0.022309843,0.024672436,0.0,0.0,0.0,0.0,0.0,0.0,0.025325568,0.0,0.0,0.0,0.029013,0.0,0.0,0.03291664,0.0,0.02442246,0.027031887,0.023443053,0.0,0.025874296,0.0,0.022395879,0.0,0.028716655,0.025775798,0.029895704,0.029264025,0.023093998,0.0,0.020222064,0.022288809,0.0,0.03059381,0.0,0.0,0.0,0.0,0.028142074,0.020419478
体重(kg),0.02436311,0.0,0.0,0.021501483,0.0,0.0,0.03222666,0.0,0.026895834,0.0,0.03921533,0.0,0.0,0.0,0.033573728,0.0,0.0,0.03465769,0.025142191,0.0,0.0,0.0,0.0,0.0,0.018630642,0.0,0.0,0.04324921,0.0,0.0,0.031746842,0.02145018,0.0,0.024352632,0.0,0.028828166,0.0,0.0,0.0,0.028575776,0.0,0.0,0.031349055,0.0,0.022991423,0.027809974,0.022960126,0.0,0.02600845,0.035007156,0.0,0.0,0.0,0.030945588,0.023071676,0.0,0.024651961,0.03112384,0.0,0.031559125,0.029093392,0.025359727,0.027494999,0.030593673,0.036430284,0.0,0.04218287,0.0,0.0,0.0,0.022856582,0.0,0.0,0.0,0.0,0.0,0.03452806
腰围(cm),0.0,0.0,0.020901712,0.0,0.022959778,0.0,0.020346193,0.021725817,0.0,0.0,0.0,0.026073473,0.0,0.0,0.021686694,0.021925567,0.027737815,0.02692053,0.0,0.02504026,0.0,0.0,0.0,0.0,0.029593643,0.028959563,0.0,0.023923133,0.0,0.017242372,0.0,0.018897036,0.023649292,0.019488018,0.026430348,0.02058114,0.0,0.020233493,0.021569736,0.024622701,0.0,0.0,0.0,0.0,0.023096658,0.02278929,0.018266853,0.025214864,0.0,0.022868928,0.019953826,0.0,0.016263152,0.0,0.019204957,0.018603249,0.0,0.0,0.0,0.0,0.023973167,0.0,0.02046572,0.02431948,0.021113737,0.0,0.023171077,0.024905067,0.0,0.0,0.026504682,0.023226636,0.023626307,0.031108819,0.036437854,0.0,0.02156206
臀围(cm),0.017857414,0.0,0.022311617,0.0,0.0,0.026732016,0.019840641,0.022724055,0.0,0.0,0.0,0.025289504,0.009182396,0.0,0.017714268,0.0,0.0,0.022758365,0.0,0.0,0.0,0.017101776,0.0,0.0,0.027778793,0.019846268,0.027255405,0.023167916,0.0,0.029586522,0.0,0.024201958,0.01651912,0.018910896,0.01941248,0.019566279,0.0,0.0,0.025555024,0.0,0.020262467,0.0,0.0,0.0,0.024177443,0.024333067,0.028502008,0.0,0.03872771,0.026894016,0.0,0.0,0.032173797,0.018124778,0.018265076,0.0,0.0,0.020855067,0.0,0.022459082,0.02894054,0.0,0.03632103,0.025705924,0.033963416,0.0,0.036792777,0.015449689,0.0,0.028281702,0.0,0.018677223,0.023054983,0.021457432,0.0,0.0,0.023230897
体温(℃),0.028343253,0.0,0.03282711,0.0,0.0,0.0,0.0,0.0,0.024206253,0.023919366,0.0,0.0,0.0,0.035876945,0.0,0.05274991,0.0,0.0,0.02487895,0.0,0.0,0.030145338,0.0,0.027192265,0.034080554,0.0,0.03642639,0.0,0.034714524,0.03394943,0.029433649,0.0,0.0,0.0,0.041252688,0.042272124,0.027554613,0.0,0.044863887,0.0,0.019618575,0.03446094,0.0,0.029382199,0.0,0.0,0.0,0.031158002,0.0,0.04095387,0.024487372,0.0,0.037062373,0.0,0.0,0.0,0.0,0.0,0.025720062,0.0,0.023580465,0.0,0.0,0.027175639,0.0,0.025904514,0.0,0.027746696,0.0,0.0,0.0,0.023834,0.030125953,0.0,0.0,0.0,0.0
脉搏(次/分),0.0,0.043947127,0.0,0.0,0.028011916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036844872,0.0,0.0,0.0,0.034784857,0.0,0.034844227,0.038124114,0.0,0.0,0.0,0.0,0.03781621,0.0,0.04804051,0.0,0.0,0.0,0.041883364,0.0,0.044845924,0.0,0.043573096,0.0,0.0,0.0,0.036863253,0.0,0.0,0.0,0.0,0.03095857,0.039002545,0.0,0.0,0.0,0.037620645,0.0,0.036820646,0.0,0.029073136,0.031833645,0.0,0.03955289,0.0,0.0,0.0,0.0,0.04107901,0.023143448,0.0,0.042982426,0.0,0.0,0.0,0.0,0.033759058,0.024727166,0.0,0.024802374,0.02353586,0.0,0.03597683,0.038466774
呼吸(次/分),0.023640634,0.025599204,0.0,0.0,0.026060846,0.0,0.025148414,0.0,0.023580573,0.030031163,0.024994908,0.017863456,0.0,0.02379501,0.0,0.0336062,0.03888993,0.0,0.024438718,0.03030042,0.02044395,0.034447405,0.030275565,0.026071314,0.030283304,0.022637354,0.0,0.0,0.02236391,0.0,0.03523395,0.0,0.0,0.02172345,0.02150229,0.0325369,0.0,0.032152295,0.0,0.03197565,0.024059225,0.021427028,0.027562557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036908593,0.0,0.0,0.0,0.0,0.0,0.0,0.024304006,0.029309718,0.0,0.0,0.0,0.0,0.0,0.026651127,0.0,0.022678662,0.0,0.0,0.0,0.030630875,0.0,0.0,0.029262653,0.013734499,0.0
收缩压,0.0,0.027524192,0.0,0.027904872,0.022168528,0.0,0.0,0.0,0.0,0.03014135,0.0,0.0,0.036761615,0.03404361,0.0,0.023910305,0.03163862,0.0,0.024361523,0.026840232,0.026246747,0.0,0.0,0.028478693,0.028374892,0.028304683,0.0,0.02199809,0.03172183,0.0,0.0,0.0,0.0,0.02149266,0.025251567,0.032343857,0.02755988,0.03924972,0.0,0.018610047,0.030251741,0.0,0.0,0.032498695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027952297,0.0,0.0,0.0,0.02505051,0.026739065,0.0,0.03224435,0.0,0.0,0.0,0.0,0.0,0.0,0.037301235,0.0,0.030456426,0.0,0.0,0.025758909,0.0,0.024902016,0.029498361,0.02798505,0.027976913,0.0
舒张压,0.0,0.026633548,0.03032491,0.030497812,0.032898143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026046336,0.0,0.0,0.0,0.036831055,0.0,0.038304616,0.024825646,0.0,0.0,0.0,0.027382813,0.0224557,0.0,0.030787619,0.0,0.0,0.0,0.023555297,0.0,0.04319618,0.0,0.026821712,0.022325043,0.0,0.0,0.024662377,0.0,0.0,0.0,0.0,0.041591182,0.022308217,0.024137523,0.0,0.018655377,0.030826757,0.024347574,0.0,0.0,0.020117838,0.029550204,0.0,0.0,0.0,0.029993596,0.0,0.0,0.020526703,0.03402913,0.025835518,0.0,0.031149063,0.04001804,0.0,0.023472713,0.0,0.025003063,0.0,0.023805525,0.030498343,0.0,0.03229068,0.0
