,年龄,身高(cm),体重(kg),腰围(cm),臀围(cm),体温(℃),脉搏(次/分),呼吸(次/分),收缩压,舒张压,总热卡(千卡),门诊测血糖（次/周),自我监测血糖(次/周),空腹血糖(mmol/l),餐后血糖(mmol/l),糖化血红蛋白(%),空腹血糖(mmol/L),餐后2H血糖(mmol/L),糖化血红蛋白(%).1,空腹胰岛素(pmol/l),空腹C肽(nmol/l),餐后2H胰岛素(pmol/l),餐后2H C肽空腹C肽(nmol/l),TC（总胆固醇）,TG（甘油三酯）,LDL--C（低密度脂蛋白）,HDL--C（高密度脂蛋白）,24H尿蛋白定量(mg/24h),尿白蛋白(mg/L),BUN尿素氮(mmol/L),CREA肌酐(umol/L),WBC(×109/L),中性粒胞(%),RBC( 1012/L),家族史,高血压,脑血管病变,心血管病变,视网膜病变,糖尿病肾病,周围神经病变,糖尿病足,皮肤感染,糖尿病酮症（或酸中毒）,定时定量,食物选择合理,食物搭配合理,甜食,外出就餐,其他,每周运动次数,每次运动时间,是否使用口服降糖药,是否使用胰岛素,是否使用降压药,是否使用调脂药,胃纳,活动情况,心电图,心脏B超,眼底检查情况,肾ECT,神经肌电图,血管病变（多普勒）,奇形,干裂,灰趾甲,自觉足部症状,足背动脉搏动,每天足部检查 ,每天足部清洁,足部神经感觉阈值结果,ABI检查结果,抽烟,喝酒,程度分级,血糖记录(是/否)
餐后2H胰岛素(pmol/l),0.0,0.0,0.0,0.0,0.0,0.028649524,0.025835015,0.0,0.0,0.0,0.0,0.022267243,0.015966026,0.0,0.052969474,0.0,0.0,0.018874735,0.017364694,0.0,0.0,0.0,0.0,0.0,0.04596869,0.0,0.011536771,0.046874788,0.0,0.039586782,0.0,0.047669202,0.0,0.0,0.030853014,0.016827414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022324126,0.019614307,0.0,0.021222332,0.0,0.019837845,0.038735032,0.0,0.023401162,0.009628922,0.030546721,0.037140857,0.0,0.024943465,0.0,0.0,0.016039455,0.0,0.027851835,0.0,0.0,0.0,0.012643324,0.02600906,0.023330998,0.060245465,0.0,0.0,0.020801535,0.016376803,0.0,0.0,0.013754382
餐后2H C肽空腹C肽(nmol/l),0.022506734,0.025018994,0.06265534,0.01907741,0.0,0.019177606,0.030608742,0.0,0.0,0.02727605,0.018605668,0.0,0.013723167,0.0,0.031957485,0.0,0.0,0.025381379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01435681,0.0,0.0,0.03921439,0.0,0.015644677,0.044793032,0.0,0.0,0.0,0.0,0.024606012,0.020930922,0.0,0.0,0.0,0.026968671,0.0,0.008165304,0.014219775,0.014858669,0.0,0.02989432,0.022235496,0.027622897,0.0,0.03833276,0.0,0.01971937,0.0,0.0,0.030340005,0.0,0.03235072,0.027103018,0.023749363,0.019872066,0.021164482,0.0,0.0,0.032501433,0.026169654,0.030778198,0.017309593,0.02242301,0.0,0.026734818,0.043577123,0.0,0.0,0.020007819
TC（总胆固醇）,0.023111396,0.024334809,0.03842051,0.0,0.0,0.0,0.019115437,0.0,0.030307867,0.02719701,0.024074858,0.0,0.026097676,0.0,0.020283403,0.0,0.0,0.021558465,0.02181045,0.0,0.0,0.014469081,0.0,0.0,0.016776435,0.03591872,0.0,0.023377325,0.0,0.0,0.0,0.022657156,0.0,0.01549291,0.025595335,0.027017267,0.0,0.0548607,0.0,0.0216049,0.0,0.0,0.0,0.0,0.016808784,0.0,0.018115917,0.0,0.0,0.02768804,0.0,0.017607117,0.01780031,0.0,0.019647418,0.0,0.0,0.016386347,0.0,0.0,0.0,0.018142328,0.0133922715,0.021660447,0.020109445,0.039182443,0.0,0.0,0.009656592,0.019934395,0.01787752,0.027422523,0.0,0.0,0.0,0.0,0.015786253
TG（甘油三酯）,0.0,0.0,0.021026867,0.03623782,0.0,0.0,0.0,0.0,0.0,0.019989232,0.03537334,0.0,0.0,0.0,0.0,0.027342224,0.054517195,0.033865422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017299661,0.0,0.0,0.06838187,0.057273805,0.0,0.016654547,0.0,0.035012342,0.0,0.079435356,0.03162083,0.02071871,0.0,0.0,0.03345382,0.0,0.015071235,0.042705327,0.0,0.0,0.034218643,0.02008027,0.0,0.0,0.0,0.0,0.043589454,0.0,0.0,0.0,0.06821862,0.0,0.0,0.0,0.032427933,0.0345431,0.0,0.022891777,0.030514527,0.0,0.0,0.0,0.023123128,0.023060182,0.0,0.0,0.0,0.028845,0.02464673
LDL--C（低密度脂蛋白）,0.022483954,0.0,0.0,0.0,0.0,0.0,0.0,0.019594619,0.017414637,0.0,0.033627853,0.0,0.0,0.0,0.01564683,0.02766655,0.032217663,0.023308514,0.0,0.014501179,0.022547249,0.04066409,0.015616845,0.035263114,0.032189388,0.0,0.0,0.0,0.0,0.019196775,0.022729587,0.0,0.032946076,0.0,0.0,0.0,0.0,0.024163306,0.024259347,0.0218285,0.0,0.037204783,0.0,0.028496312,0.0,0.059343766,0.0,0.025361132,0.0,0.0,0.016012505,0.0,0.013824581,0.0,0.0,0.0,0.020384615,0.0,0.01717991,0.0,0.018362755,0.013199521,0.0,0.022693535,0.050789908,0.027935218,0.032564715,0.0,0.018422127,0.0,0.021419577,0.019005585,0.0,0.0,0.03986126,0.026700983,0.013889972
HDL--C（高密度脂蛋白）,0.0,0.0,0.0,0.030509036,0.0,0.0,0.0,0.0,0.0,0.043421365,0.032891054,0.0,0.035309903,0.022786023,0.0,0.0,0.0,0.03702635,0.0,0.0,0.016309522,0.0,0.0,0.0,0.0,0.02013373,0.0,0.049978815,0.0,0.023221152,0.0,0.0,0.021021446,0.0,0.0,0.0,0.044863533,0.022372467,0.0,0.0,0.0,0.0,0.019083213,0.0,0.052056912,0.0,0.036025856,0.0,0.031393502,0.0,0.021368667,0.0,0.03686706,0.0,0.05454231,0.035287436,0.028431842,0.0,0.0,0.0,0.0,0.026775064,0.038567778,0.0,0.0,0.0,0.038095634,0.024382165,0.03604773,0.0,0.014569313,0.0,0.017831448,0.025077915,0.02178309,0.0,0.06033347
24H尿蛋白定量(mg/24h),0.0,0.021773217,0.0,0.03203227,0.0,0.0,0.0,0.0,0.0,0.029713515,0.07120255,0.0,0.033791102,0.07440577,0.0,0.02780088,0.0,0.0,0.0,0.04698513,0.04002252,0.0,0.0,0.02819786,0.0,0.04954779,0.0,0.0,0.036343347,0.0,0.0,0.0,0.0,0.039910235,0.05678635,0.0,0.029431416,0.0,0.0,0.0,0.057386212,0.026126303,0.0,0.025858335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032248687,0.0,0.0,0.0,0.0,0.039770022,0.0,0.020685574,0.0,0.0,0.0,0.0,0.0,0.0,0.046488646,0.0,0.027522687,0.035459734,0.0,0.0,0.0,0.014417071,0.035089113,0.030053064,0.022579776,0.0
尿白蛋白(mg/L),0.02252259,0.028559675,0.015464673,0.015364298,0.0,0.0,0.0,0.0,0.0,0.022338143,0.0,0.0,0.036132727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04529068,0.0,0.0,0.040317126,0.0,0.022997418,0.0,0.0,0.0,0.023913618,0.0,0.0,0.0,0.046069805,0.042144574,0.02316782,0.0,0.022017892,0.0,0.0,0.0,0.02611995,0.0,0.0,0.05840953,0.0,0.0,0.01816982,0.024406932,0.0,0.0,0.022041874,0.0,0.024343964,0.02248431,0.052227292,0.0118699,0.040380675,0.015301934,0.0,0.014569129,0.042259205,0.03121867,0.0,0.014263039,0.021487676,0.02801196,0.036366746,0.0,0.02062025,0.0,0.0,0.0,0.0,0.028518641,0.0
BUN尿素氮(mmol/L),0.0,0.0,0.039669838,0.0,0.034319304,0.0,0.032571442,0.04114071,0.0,0.024803288,0.0,0.015683845,0.026611257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021870276,0.0,0.039821655,0.0,0.0,0.0,0.021538721,0.0,0.025316993,0.042133808,0.036951255,0.0,0.054375697,0.04614664,0.033231266,0.0,0.0,0.0,0.0,0.018413052,0.035456285,0.0,0.0,0.029889084,0.03225551,0.031576216,0.0,0.0,0.0,0.0,0.027701363,0.0,0.027241495,0.0,0.02197905,0.0,0.0,0.034292407,0.02749512,0.0,0.0,0.0298616,0.025091546,0.0,0.0,0.0,0.023974854,0.03398144,0.02879013,0.0,0.022517584,0.0
CREA肌酐(umol/L),0.021383677,0.0,0.018517107,0.0,0.0,0.030080749,0.016246801,0.031099336,0.0,0.0,0.0,0.022928094,0.0,0.014339868,0.0,0.016895443,0.021979284,0.026099574,0.033040848,0.0,0.0,0.0,0.015863402,0.0,0.0,0.0,0.040265188,0.0,0.02023864,0.023160314,0.0,0.0,0.017326934,0.0,0.0,0.04536843,0.0,0.032921873,0.028025983,0.0,0.0,0.0158324,0.0,0.021697553,0.0,0.024099294,0.0,0.028214738,0.0,0.0,0.008454155,0.0,0.0249797,0.0,0.0,0.018737696,0.0,0.0,0.037831787,0.0,0.029109446,0.0,0.0,0.01833211,0.010597525,0.029297736,0.0,0.0,0.0,0.019180752,0.0,0.021206524,0.025637876,0.0,0.030494511,0.0,0.028216137
